"","nh03","nhGroup","nhTrt","nhHom","nhClass","nhSisben","nhPopD","nhDistCenter","nhQP03","nhPV03","nhTP03","nhBI03","nhCE03","nhNB03","nhMale","nhAgeYoung","nhAgeMid","nhMarDom","nhSepDiv","nhOwn","nhRent","nhEmp","nhAboveHS","nhHS","nhLogHom","BE","CE","PV","QP","TP","hom","nh","year","Group","HomCount2003","Pop2003","HomCount2008","Pop2008"
"101","101","T",1,18.856295,"2",0.431783848,448.80379,8.010415051,0.28530657,0.310352257,0.369478198,0.709654799,0.511474863,25.71974863,0.3125,0.25,0.375,0.625,0.0625,0.5625,0.1875,0.4375,0,0.375,2.93684681039902,1.4629576185483,0.640585455674804,-0.421053291565929,-0.703560468392699,0.786278217394781,0.0190272308442669,101,2003,"T",23,25400.98715,10,26974.33255
"102","102","T",1,13.122985,"1",1,177.9354409,8.010415051,0.272034359,0.396008141,0.296563878,0.787913775,0.524396418,10.02658719,0.583333333333333,0.416666666666667,0.166666666666667,0.5,0.0833333333333333,0.583333333333333,0.166666666666667,0.583333333333333,0,0.333333333333333,2.57436527288218,0.165336365354498,0.812402417357728,-0.564809871890699,-2.79756601379229,1.53051649807253,-0.0994302195554578,102,2003,"T",5,4986.741657,1,5295.622055
"103","103","T",1,38.83743,"2",0.688406575,468.4319388,8.010415051,0.245551782,0.45050913,0.333469853,0.477590147,0.51743301,9.386135789,0.555555555555556,0.444444444444444,0.333333333333333,0.333333333333333,0.111111111111111,0.5,0.5,0.333333333333333,0.0555555555555556,0.388888888888889,3.65938447233582,2.17907308338188,2.75789761545199,-1.39274403075728,-1.43050489417244,1.88105573426469,-0.192141715202449,103,2003,"T",36,21425.46617,7,22752.5665
"104","104","T",1,21.734265,"2",0.398633878,462.3657274,8.010415051,0.249654505,0.331877838,0.544519101,0.527427047,0.646868595,13.45414351,0.5,0.4,0.2,0.5,0,0.8,0.2,0.4,0,0.7,3.07889004744385,0.558362276163623,-0.658990953471397,0.117760369295964,-1.05836209822291,0.107583269722717,0.0342571734760909,104,2003,"T",6,11148.98171,4,11839.55326
"105","105","T",1,10.797995,"2",0.842203824,480.6064638,8.010415051,0.091985913,0.342890935,0.347325391,0.666447891,0.461708448,10.79012327,0.208333333333333,0.208333333333333,0.458333333333333,0.375,0.125,0.541666666666667,0.208333333333333,0.5,0.0416666666666667,0.666666666666667,2.37936046874728,-0.593241905623035,0.666516026429657,-0.828764386732098,1.41308497132252,1.21310102806857,-0.128726896857709,105,2003,"T",8,14003.76354,1,14871.1612
"106","106","T",1,11.39539,"2",0.722097031,498.2373787,8.010415051,0.213215899,0.061044901,0.826295238,0.774613608,0.617102334,25.29233905,0.363636363636364,0.272727272727273,0.363636363636364,0.454545454545455,0,0.727272727272727,0.0909090909090909,0.181818181818182,0.272727272727273,0.454545454545455,2.43320888764948,-0.715871418793362,-0.810367895619715,1.63922515424262,0.654294556741683,-1.26290863965398,-0.0246428688073949,106,2003,"T",6,11948.46665,3,12688.55856
"107","107","T",1,15.23579,"2",0.440492437,546.4787799,8.010415051,0.210863218,0.26741656,0.452905492,0.706002795,0.522189705,0,0.428571428571429,0.5,0.142857142857143,0.571428571428571,0,0.857142857142857,0.142857142857143,0.285714285714286,0.0714285714285714,0.5,2.72364726537619,0.131475319577123,-0.0176346149295331,-1.85343052349706,0.212543839499422,1.09724083028825,0.13478698256679,107,2003,"T",9,11911.96049,8,12649.79119
"108","108","T",1,32.59397,"2",0.695583295,319.5218591,8.010415051,0.259831277,0.356759457,0.34296558,0.345594948,0.495665228,0,0.272727272727273,0.363636363636364,0.363636363636364,0.363636363636364,0,0.727272727272727,0.272727272727273,0.454545454545455,0,0.727272727272727,3.48412730193857,0.176581616302987,0.329818708803479,-2.36428387532909,-0.275503796314124,0.2596773595861,-0.11656107365825,108,2003,"T",6,2161.164759,1,2295.028006
"109","109","T",1,72.151965,"1",0.524413541,179.8363252,8.010415051,0.567785079,0.282299709,0.587351497,0.70900062,0.394856513,0,0.333333333333333,0,0.333333333333333,0.666666666666667,0,0.333333333333333,0.666666666666667,0.666666666666667,0,0.666666666666667,4.27877451977625,0.635848302281913,2.1230305835326,1.84130038277398,-0.372124380102378,1.1040980929161,-0.0318672161521975,109,2003,"T",4,1398.185984,1,1484.790078
"110","110","T",1,23.8789,"1",1,308.7351859,8.010415051,0.398192215,0.550648193,0,0.788156687,0.421804527,95.04541811,0,1,0,0,0,1,0,0,0,1,3.17299522381185,-1.31855331523526,-0.486852614778232,-0.0927117388779203,0.408045913649325,0.434138340801774,0.0122606578920763,110,2003,"T",3,2110.056133,0,2240.753695
